tree_id,trunk_diam,status,health,spc_common,neighborhood
329589,8,Alive,Good,Sophora,Bushwick North
163167,7,Alive,Good,Chinese elm,West Farms-Bronx River
21828,13,Alive,Good,sawtooth oak,Crown Heights North
511973,6,Alive,Fair,paper birch,Annadale-Huguenot-Prince's Bay-Eltingville
577623,9,Alive,Good,sweetgum,Charleston-Richmond Valley-Tottenville
517125,6,Alive,Good,honeylocust,Co-op City
552251,21,Alive,Good,pin oak,Flushing
446954,9,Alive,Fair,Sophora,Hunts Point
530248,16,Alive,Good,littleleaf linden,Elmhurst-Maspeth
294579,10,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
201198,0,Stump,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
713538,11,Alive,Good,American linden,Starrett City
256331,22,Alive,Good,pin oak,Bay Ridge
267032,25,Alive,Good,London planetree,Bath Beach
683352,21,Alive,Good,Norway maple,Flatlands
553732,2,Alive,Good,tulip-poplar,Stuyvesant Heights
6889,7,Alive,Good,ginkgo,Central Harlem South
654046,24,Alive,Good,London planetree,Dyker Heights
681576,7,Alive,Good,hedge maple,Flatlands
512892,8,Alive,Good,maple,Annadale-Huguenot-Prince's Bay-Eltingville
220415,25,Alive,Good,London planetree,Windsor Terrace
261773,4,Alive,Good,Chinese elm,Flushing
230491,37,Alive,Good,pin oak,14
93530,11,Alive,Good,Callery pear,Forest Hills
572145,17,Alive,Good,Norway maple,Rosedale
256930,30,Alive,Fair,London planetree,Ocean Parkway South
573236,28,Alive,Good,London planetree,Laurelton
64305,3,Alive,Poor,American elm,Hamilton Heights
18311,2,Alive,Good,paperbark maple,Hammels-Arverne-Edgemere
350986,2,Alive,Good,golden raintree,Annadale-Huguenot-Prince's Bay-Eltingville
452814,33,Alive,Good,London planetree,New Dorp-Midland Beach
373028,3,Alive,Good,willow oak,Crown Heights North
120302,3,Alive,Good,cherry,Morningside Heights
555581,9,Alive,Good,honeylocust,QN70
546882,4,Alive,Good,littleleaf linden,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
226313,16,Alive,Good,London planetree,Todt Hill-Emerson Hill-Heartland Village-Lighthous
710903,12,Alive,Good,Callery pear,22
668547,20,Alive,Good,London planetree,Bensonhurst West
560017,7,Alive,Good,honeylocust,Oakland Gardens
615283,6,Alive,Good,cherry,Forest Hills
244417,24,Alive,Good,pin oak,Flatbush
261879,2,Alive,Poor,American linden,Hammels-Arverne-Edgemere
24038,5,Alive,Fair,Callery pear,Great Kills
324060,22,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin
716262,15,Alive,Good,honeylocust,South Ozone Park
411035,3,Alive,Good,American hophornbeam,Woodside
432521,5,Alive,Good,ginkgo,Hudson Yards-Chelsea-Flatiron-Union Square
97394,20,Alive,Good,pin oak,BK37
98704,15,Alive,Fair,littleleaf linden,Glendale
273798,10,Alive,Good,Norway maple,Schuylerville-Throgs Neck-Edgewater Park
395366,18,Alive,Good,American linden,Van Nest-Morris Park-Westchester Square
611465,6,Alive,Good,pin oak,Kew Gardens Hills
547702,10,Alive,Good,Callery pear,QN63
546328,30,Alive,Good,London planetree,Borough Park
686384,18,Alive,Good,American linden,Georgetown-Marine Park-Bergen Beach-Mill Basin
649566,27,Alive,Good,pin oak,Bayside-Bayside Hills
563748,3,Alive,Good,cherry,Woodside
92266,2,Alive,Good,sweetgum,Mott Haven-Port Morris
87912,8,Alive,Fair,Chinese elm,BX44
512557,13,Alive,Good,littleleaf linden,Woodlawn-Wakefield
158180,9,Alive,Fair,Sophora,Old Town-Dongan Hills-South Beach
696530,11,Alive,Good,London planetree,Kew Gardens Hills
28214,2,Alive,Good,Sophora,Sunset Park East
650804,33,Alive,Good,silver maple,Woodhaven
176309,10,Alive,Fair,pin oak,Hammels-Arverne-Edgemere
688351,28,Alive,Good,London planetree,BK58
566009,3,Alive,Good,Chinese elm,Hollis
434397,4,Alive,Good,cherry,East New York
180692,23,Alive,Good,Callery pear,Prospect Heights
703170,23,Alive,Good,pin oak,Lindenwood-Howard Beach
364137,22,Alive,Good,horse chestnut,Van Nest-Morris Park-Westchester Square
169185,9,Alive,Good,littleleaf linden,Upper East Side-Carnegie Hill
639049,4,Alive,Good,Japanese zelkova,Williamsburg
414504,3,Alive,Fair,Siberian elm,West New Brighton-New Brighton-St. George
297081,11,Alive,Good,Callery pear,Yorkville
313066,16,Alive,Good,Callery pear,Rossville-Woodrow
552595,7,Alive,Fair,ginkgo,BK78
62846,4,Alive,Good,American elm,Flatbush
419948,2,Alive,Good,Japanese tree lilac,Seagate-Coney Island
243498,2,Alive,Good,dawn redwood,Ocean Parkway South
52953,2,Alive,Good,ginkgo,Todt Hill-Emerson Hill-Heartland Village-Lighthous
324076,18,Alive,Good,pin oak,Schuylerville-Throgs Neck-Edgewater Park
438048,3,Alive,Good,common hackberry,East Tremont
67802,11,Alive,Good,cherry,QN23
98614,18,Alive,Good,green ash,Glen Oaks-Floral Park-New Hyde Park
17441,13,Alive,Good,Amur maple,QN72
170177,14,Alive,Good,northern red oak,Battery Park City-Lower Manhattan
438095,25,Alive,Good,London planetree,Brighton Beach
130456,10,Alive,Good,littleleaf linden,Yorkville
392458,14,Alive,Fair,ginkgo,Fort Greene
121785,7,Alive,Fair,littleleaf linden,Central Harlem North-Polo Grounds
148787,11,Alive,Good,Callery pear,New Dorp-Midland Beach
72337,7,Alive,Good,silver linden,Greenpoint
192533,17,Alive,Good,green ash,Brownsville
291675,29,Alive,Good,London planetree,Queens Village
183272,13,Alive,Good,cherry,Springfield Gardens South-Brookville
10255,3,Alive,Fair,London planetree,Sunset Park West
244349,17,Alive,Good,northern red oak,33
303304,3,Alive,Good,honeylocust,MN31
721132,21,Alive,Good,American linden,Baisley Park
484053,14,Alive,Good,Callery pear,Williamsburg
228031,7,Alive,Good,silver linden,Jackson Heights
670684,4,Alive,Good,Kentucky coffeetree,College Point
125395,15,Alive,Good,London planetree,East Harlem North
40271,9,Alive,Good,crimson king maple,West New Brighton-New Brighton-St. George
359039,10,Alive,Good,honeylocust,Rossville-Woodrow
509100,24,Alive,Good,London planetree,Parkchester
198586,5,Alive,Fair,cherry,Jackson Heights
112581,25,Alive,Good,pin oak,Bayside-Bayside Hills
502197,37,Alive,Good,northern red oak,Pelham Parkway
458882,3,Alive,Good,honeylocust,East Williamsburg
